Code,Variable,Time,Category,Scale
AHM,Annual heat:moisture index (MAT+10)/(MAP/1000)),Annual,Annual,Log
bFFP,The Julian date on which FFP begins,Annual,Annual,Raw
CMD,Hargreaves climatic moisture deficit,Annual,Annual,Log
CMD_at,Autumn Hargreaves climatic moisture deficit,Autumn,Seasonal,Log
CMD_sm,Summer Hargreaves climatic moisture deficit,Summer,Seasonal,Log
CMD_sp,Spring Hargreaves climatic moisture deficit,Spring,Seasonal,Log
CMD_wt,Winter Hargreaves climatic moisture deficit,Winter,Seasonal,Log
CMD01,January Hargreaves climatic moisture deficit,January,Monthly,Log
CMD02,February Hargreaves climatic moisture deficit,February,Monthly,Log
CMD03,March Hargreaves climatic moisture deficit,March,Monthly,Log
CMD04,April Hargreaves climatic moisture deficit,April,Monthly,Log
CMD05,May Hargreaves climatic moisture deficit,May,Monthly,Log
CMD06,June Hargreaves climatic moisture deficit,June,Monthly,Log
CMD07,July Hargreaves climatic moisture deficit,July,Monthly,Log
CMD08,August Hargreaves climatic moisture deficit,August,Monthly,Log
CMD09,September Hargreaves climatic moisture deficit,September,Monthly,Log
CMD10,October Hargreaves climatic moisture deficit,October,Monthly,Log
CMD11,November Hargreaves climatic moisture deficit,November,Monthly,Log
CMD12,December Hargreaves climatic moisture deficit,December,Monthly,Log
DD_0,Degree-days below 0deg. C (chilling degree-days),Annual,Annual,Log
DD_0_01,January degree-days below 0deg. C (chilling degree-days),January,Monthly,Log
DD_0_02,February degree-days below 0deg. C (chilling degree-days),February,Monthly,Log
DD_0_03,March degree-days below 0deg. C (chilling degree-days),March,Monthly,Log
DD_0_04,April degree-days below 0deg. C (chilling degree-days),April,Monthly,Log
DD_0_05,May degree-days below 0deg. C (chilling degree-days),May,Monthly,Log
DD_0_06,June degree-days below 0deg. C (chilling degree-days),June,Monthly,Log
DD_0_07,July degree-days below 0deg. C (chilling degree-days),July,Monthly,Log
DD_0_08,August degree-days below 0deg. C (chilling degree-days),August,Monthly,Log
DD_0_09,September degree-days below 0deg. C (chilling degree-days),September,Monthly,Log
DD_0_10,October degree-days below 0deg. C (chilling degree-days),October,Monthly,Log
DD_0_11,November degree-days below 0deg. C (chilling degree-days),November,Monthly,Log
