Source,BGC,SS_NoSpace,Edatopic,Special,Codes,New Zone,New SS,NewBGCSS,Action,Based on:,Date_Updated
USA_2019,BGdh_OR,BGdh_OR/Gg2,B4,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg2,C3,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg2,C4,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg2,D3,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg2,D4,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/110,B5,NA,NA,BGdw_WA,110,BGdw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/110,C5,NA,NA,BGdw_WA,110,BGdw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/110,D5,NA,NA,BGdw_WA,110,BGdw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/110,E5,NA,NA,BGdw_WA,110,BGdw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/111,B6,NA,NA,BGdw_WA,111,BGdw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/111,C6,NA,NA,BGdw_WA,111,BGdw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/111,D6,NA,NA,BGdw_WA,111,BGdw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/111,E6,NA,NA,BGdw_WA,111,BGdw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,A1,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,A2,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,B1,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,B2,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,B3,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,B4,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,C1,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,C2,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,C3,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,C4,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,D1,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,D2,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,D3,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdw_WA,BGdw_WA/Gg,D4,NA,NA,BGdw_WA,Gg,BGdw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/110,B5,NA,NA,BGmk_ID,110,BGmk_ID/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/110,C5,NA,NA,BGmk_ID,110,BGmk_ID/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/110,D5,NA,NA,BGmk_ID,110,BGmk_ID/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/110,E5,NA,NA,BGmk_ID,110,BGmk_ID/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/111,B6,NA,NA,BGmk_ID,111,BGmk_ID/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/111,C6,NA,NA,BGmk_ID,111,BGmk_ID/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/111,D6,NA,NA,BGmk_ID,111,BGmk_ID/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/111,E6,NA,NA,BGmk_ID,111,BGmk_ID/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,A1,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,A2,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,B1,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,B2,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,B3,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,B4,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,C1,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,C2,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,C3,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,C4,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,D1,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,D2,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,D3,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_ID,BGmk_ID/Gg,D4,NA,NA,BGmk_ID,Gg,BGmk_ID/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/110,B5,NA,NA,BGmk_MT,110,BGmk_MT/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/110,C5,NA,NA,BGmk_MT,110,BGmk_MT/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/110,D5,NA,NA,BGmk_MT,110,BGmk_MT/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/110,E5,NA,NA,BGmk_MT,110,BGmk_MT/110,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/111,B6,NA,NA,BGmk_MT,111,BGmk_MT/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/111,C6,NA,NA,BGmk_MT,111,BGmk_MT/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/111,D6,NA,NA,BGmk_MT,111,BGmk_MT/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/111,E6,NA,NA,BGmk_MT,111,BGmk_MT/111,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,A1,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,A2,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,B1,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,B2,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,C1,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,C2,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,D1,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg1,D2,NA,NA,BGmk_MT,Gg1,BGmk_MT/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,B3,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,B4,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,C3,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,C4,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,D3,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmk_MT,BGmk_MT/Gg2,D4,NA,NA,BGmk_MT,Gg2,BGmk_MT/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/110,B5,NA,NA,BGmw_WA,110,BGmw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/110,C5,NA,NA,BGmw_WA,110,BGmw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/110,D5,NA,NA,BGmw_WA,110,BGmw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/110,E5,NA,NA,BGmw_WA,110,BGmw_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/111,B6,NA,NA,BGmw_WA,111,BGmw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/111,C6,NA,NA,BGmw_WA,111,BGmw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/111,D6,NA,NA,BGmw_WA,111,BGmw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/111,E6,NA,NA,BGmw_WA,111,BGmw_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,A1,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,A2,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,B1,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,B2,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,B3,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,B4,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,C1,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,C2,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,C3,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,C4,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,D1,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,D2,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,D3,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGmw_WA,BGmw_WA/Gg,D4,NA,NA,BGmw_WA,Gg,BGmw_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/110,B5,NA,NA,BGwm_WA,110,BGwm_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/110,C5,NA,NA,BGwm_WA,110,BGwm_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/110,D5,NA,NA,BGwm_WA,110,BGwm_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/110,E5,NA,NA,BGwm_WA,110,BGwm_WA/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/111,B6,NA,NA,BGwm_WA,111,BGwm_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/111,C6,NA,NA,BGwm_WA,111,BGwm_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/111,D6,NA,NA,BGwm_WA,111,BGwm_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/111,E6,NA,NA,BGwm_WA,111,BGwm_WA/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGwm_WA,BGwm_WA/Gg,A1,NA,NA,BGwm_WA,Gg,BGwm_WA/Gg,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
