classification,colour
(None),#000000
BAFAun,#E2F5F1
BAFAunp,#F0E1DD
BGdh_OR,#E8241A
BGdw_WA,#EB2A24
BGmk_MT,#E33339
BGmk_NV,#E25069
BGmm_MT,#CD423F
BGmw_WA,#E4585D
BGwm_WA,#D51925
BGxh_WA,#DB1010
BGxh1,#E53443
BGxh2,#D72828
BGxh3,#E75E63
BGxw1,#D64945
BGxw2,#D71515
BGxx_WY,#DF325E
BSJPap,#4040D6
BSJPku,#6E7ACA
BSJPpa,#3449E8
BWBScm,#286AE2
BWBScmC,#487FB7
BWBScmE,#4797E7
BWBScmNW,#71B5E8
BWBScmW,#1774FF
BWBSdk,#7687E3
BWBSdm,#627FD6
BWBSdmN,#5A7E99
BWBSdmS,#A6C8F3
BWBSlb,#727CD5
BWBSlbE,#516EB5
BWBSlbN,#4F7ACF
BWBSlbW,#2D5391
BWBSlf,#253CEC
BWBSmk,#1633F0
BWBSmw,#1645F0
BWBSnm,#485CC9
BWBSpp,#444EDB
BWBSub,#5469F0
BWBSuf,#5A5CDF
BWBSvk,#2C3BE0
BWBSwk1,#7A88E2
BWBSwk2,#5B69C9
BWBSwk3,#5F5DCC
CCHun_CA,#754862
CDFmm,#FAEA05
CDFmm_OR,#E1E42B
CDFmm_WA,#EBDE1B
CDFxm_CA,#FCFC1F
CMAun,#E8E9F3
CMAun_CA,#DEF2EA
CMAun_OR,#CFDECF
CMAun_WA,#EAEADA
CMAunp,#E4F3EA
CMAwh,#F3E9EE
CMXdm_OR,#CC87E9
CMXwm_OR,#DCA3DA
CMXxm_CA,#BB8FD6
CRFdh_CA,#891A14
CVGdm_CA,#EEB6A9
CWFds_CA,#3B73CE
CWFmm_OR,#0D47AB
CWFwm_OR,#2168CB
CWHdm,#79D31F
CWHdm_OR,#7DD78C
CWHdm_WA,#1BB926
CWHds_WA,#8DEF37
CWHds1,#36D01B
CWHds2,#2DD42A
CWHmh_OR,#1DEC32
CWHmm1,#76E7B0
CWHmm2,#7EDD69
CWHms_OR,#53E33C
CWHms_WA,#33E15F
CWHms1,#24DA27
CWHms2,#87CB78
CWHvh_WA,#3BD04F
CWHvh1,#22E514
CWHvh2,#48EB4D
CWHvh3,#4DE15A
CWHvm_OR,#066D06
CWHvm_WA,#289838
CWHvm1,#24AC12
CWHvm2,#258D0E
CWHwh_WA,#70EB74
CWHwh1,#13D219
CWHwh2,#68E41A
CWHwm,#60C87B
CWHws1,#41E377
CWHws2,#41D45C
CWHxm_OR,#87EC91
CWHxm_WA,#33E31B
CWHxm1,#40D964
CWHxm2,#5DD991
ESSFabC,#C155D9
ESSFabE,#B62DD8
ESSFabN,#E4A6F3
ESSFabS,#D876DD
