Source,BGC,SS_NoSpace,Edatopic
BECv10,BAFAun,BAFAun/00,E7
BECv10,BAFAun,BAFAun/00,E6
BECv10,BAFAun,BAFAun/00,E5
BECv10,BAFAun,BAFAun/00,E4
BECv10,BAFAun,BAFAun/00,E3
BECv10,BAFAun,BAFAun/00,E2
BECv10,BAFAun,BAFAun/00,E1
BECv10,BAFAun,BAFAun/00,E0
BECv10,BAFAun,BAFAun/00,D7
BECv10,BAFAun,BAFAun/00,D6
BECv10,BAFAun,BAFAun/00,D5
BECv10,BAFAun,BAFAun/00,D4
BECv10,BAFAun,BAFAun/00,D3
BECv10,BAFAun,BAFAun/00,D2
BECv10,BAFAun,BAFAun/00,D1
BECv10,BAFAun,BAFAun/00,D0
BECv10,BAFAun,BAFAun/00,C7
BECv10,BAFAun,BAFAun/00,C6
BECv10,BAFAun,BAFAun/00,C5
BECv10,BAFAun,BAFAun/00,C4
BECv10,BAFAun,BAFAun/00,C3
BECv10,BAFAun,BAFAun/00,C2
BECv10,BAFAun,BAFAun/00,C1
BECv10,BAFAun,BAFAun/00,C0
BECv10,BAFAun,BAFAun/00,B7
BECv10,BAFAun,BAFAun/00,B6
BECv10,BAFAun,BAFAun/00,B5
BECv10,BAFAun,BAFAun/00,B4
BECv10,BAFAun,BAFAun/00,B3
BECv10,BAFAun,BAFAun/00,B2
BECv10,BAFAun,BAFAun/00,B1
BECv10,BAFAun,BAFAun/00,B0
BECv10,BAFAun,BAFAun/00,A7
BECv10,BAFAun,BAFAun/00,A6
BECv10,BAFAun,BAFAun/00,A5
BECv10,BAFAun,BAFAun/00,A4
BECv10,BAFAun,BAFAun/00,A3
BECv10,BAFAun,BAFAun/00,A2
BECv10,BAFAun,BAFAun/00,A1
BECv10,BAFAun,BAFAun/00,A0
BECv10,BAFAunp,BAFAunp/00,E7
BECv10,BAFAunp,BAFAunp/00,E6
BECv10,BAFAunp,BAFAunp/00,E5
BECv10,BAFAunp,BAFAunp/00,E4
