"index","GCM","SSP","RUN","PERIOD","BAFA","CMA","CWH","ESSF","ICH","IDF","IMA","MH","SBS"
1,"obs","obs",NA,"1961_1990",5157,2358,740,46823,3324,354,389,5210,63222
2,"obs","obs",NA,"2001_2020",3003,1991,612,37394,2768,354,222,4849,58876
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1090,662,493,19009,2690,354,67,2661,33616
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",1331,657,136,20292,2082,354,69,2475,14748
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1278,521,469,21049,2464,354,67,2808,44541
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",1099,787,272,19372,2175,354,52,2534,17818
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1787,1650,670,27771,2727,354,125,3772,55370
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1334,1783,659,24735,2638,354,123,3586,47405
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",1705,1499,627,26447,2762,354,119,3543,52019
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1721,1679,706,26544,2617,354,111,3851,52017
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",645,1193,229,19712,2735,354,92,2798,18736
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",674,1194,445,17844,2726,354,72,2848,20767
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",971,1034,14,26501,2840,354,107,2515,13268
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",508,911,247,18781,2684,354,95,2583,23505
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",2001,1571,675,27982,2813,354,132,3714,55670
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2444,1435,681,32313,2838,354,164,3935,59382
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1847,1817,652,26325,2709,354,147,3625,46250
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1707,1368,699,25602,2820,354,116,3570,55125
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2168,1153,706,34108,2728,354,134,4059,59047
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2054,1092,708,33011,2623,354,140,3913,60172
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2777,1219,732,39072,2648,323,160,4379,60000
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1941,994,634,32284,2472,354,132,3687,56913
23,"MIROC6","ssp245","ensembleMean","2001_2020",1417,1689,647,20872,2738,354,92,3166,39352
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1424,1691,626,21696,2591,354,99,3335,26167
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",2142,1066,683,27819,2617,354,74,3652,57502
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",664,1934,619,16422,2602,354,57,2654,13934
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1905,1004,574,29312,2711,354,114,3637,51621
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",2186,593,478,32844,1786,354,150,3256,56783
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",1450,1594,621,23610,2616,354,112,3416,37913
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1048,1093,482,25160,2673,354,145,3197,46935
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1048,1093,482,25160,2673,354,145,3197,46935
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1433,1183,645,23956,2730,354,107,3311,47830
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",278,598,NA,13406,3228,354,47,935,6170
