ID1,Latitude,Longitude,Elevation (m),Site Series
Inga Lake,56.61666667,-121.6333333,890,SBSdw3/05
Inga Lake,56.61666667,-121.6333333,890,SBSdw3/05
Iron Creek,56.63333333,-122.3166667,820,SBSdw3/01
Iron Creek,56.63333333,-122.3166667,820,SBSdw3/01
Stewart Lake,55.9,-120.9833333,805,BWBSmw/101
Wonowon,56.61666667,-121.8166667,900,BWBSmw/101
Bednesti North,53.86666667,-123.4833333,850,SBSwk2/01
Bednesti South,53.86666667,-123.4833333,850,SBSwk2/05
Tanli,53.28333333,-124.4666667,1240,SBSmc3/01
Tanli,53.28333333,-124.4666667,1240,SBSmc3/07
Upper Coalmine,53.61666667,-121.7166667,1190,SBSvk/01
Upper Coalmine,53.61666667,-121.7166667,1190,SBSvk/05
Upper Coalmine,53.61666667,-121.7166667,1190,SBSvk/06
Gleason,54.124,-121.2421667,855,BWBSmw/101
Sande,54.08166667,-121.1866667,700,SBSvk/01
Sande,54.08166667,-121.1866667,700,SBSvk/06
Severeid,54.19633333,-121.4706667,840,SBSvk/01
Severeid,54.19633333,-121.4706667,840,SBSvk/05
Severeid,54.19633333,-121.4706667,840,SBSvk/06
West Torpy,54.08516667,-121.5175,790,SBSvk/01
West Torpy,54.08516667,-121.5175,790,SBSvk/05
West Torpy,54.08516667,-121.5175,790,SBSvk/06
West Torpy,54.08516667,-121.5175,790,SBSvk/10
Mackenzie,53.21666667,-123.0166667,760,SBSvk/01
Mackenzie,53.21666667,-123.0166667,760,SBSvk/06
